"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Bairagi, Satyaranjan","2020-07-21","A fully sustainable, self-poled, bio-waste based piezoelectric nanogenerator: electricity generation from pomelo fruit membrane","https://www.nature.com/articles/s41598-020-68751-3","10.1038/s41598-020-68751-3","energy harvester","use of energy from motion","","","","","481 mV","130 µA","487.5 μW cm−2","","","","","20 Hz"
"Farahani, Elham","2020-08-03","Fabrication of flexible self-powered humidity sensor based on super-hydrophilic titanium oxide nanotube arrays","https://www.nature.com/articles/s41598-020-70031-z","10.1038/s41598-020-70031-z","sensor","","contact-separation","","Kapton","titanium","","24.08 µA","","","","","","4 Hz"
"Auliya, Rahmat Zaki","2021-08-31","Exploration of 2D Ti3C2 MXene for all solution processed piezoelectric nanogenerator applications","https://www.nature.com/articles/s41598-021-96909-0","10.1038/s41598-021-96909-0","energy harvester","use of energy from motion","","","PVDF","PEDOT","8.9 V","0.89 µA","","","","","","10 Hz"
"Cheedarala, Ravi Kumar","2022-03-08","Harvesting of flow current through implanted hydrophobic PTFE surface within silicone-pipe as liquid nanogenerator","https://www.nature.com/articles/s41598-022-07614-5","10.1038/s41598-022-07614-5","energy harvester","use of energy from water/fluid","","aluminum","PVDF","Al","29.4 V","3.7 µA","38.2 μW/cm2","","","","",""
"Shooshtari, Leyla","2022-05-04","Design of effective self-powered SnS2/halide perovskite photo-detection system based on triboelectric nanogenerator by regarding circuit impedance","https://www.nature.com/articles/s41598-022-11327-0","10.1038/s41598-022-11327-0","sensor","tactile/motion sensor","contact-separation","quartz","Kapton","ZnO","2000 V","60 µA","360 µW/cm2","","","","","2.5 Hz"
"Lin, Meng-Fang","2022-09-01","Electrospun P3HT/PVDF-HFP semiconductive nanofibers for triboelectric nanogenerators","https://www.nature.com/articles/s41598-022-19306-1","10.1038/s41598-022-19306-1","sensor","tactile/motion sensor","contact-separation","","PVDF","","78 V","7 μA","45 μW/cm2","1.1 μA/cm2","","","6.25 cm2","5 Hz"
"Khan, Muhammad Umair","2023-06-22","Chicken skin based Milli Watt range biocompatible triboelectric nanogenerator for biomechanical energy harvesting","https://www.nature.com/articles/s41598-023-36817-7","10.1038/s41598-023-36817-7","energy harvester","use of energy from motion","contact-separation","hair","Kapton","copper","390 V","54 μA","200 mW/m2","","","","9 cm2","14 Hz"
"Gunasekhar, Ramadasu","2023-12-19","Electrospun PVDF/aromatic HBP of 4th gen based flexible and self-powered TENG for wearable energy harvesting and health monitoring","https://www.nature.com/articles/s41598-023-50231-z","10.1038/s41598-023-50231-z","energy harvester","use of energy from motion","","","PVDF","","124.4 V","1.1 μA","","","","","","1 Hz"
"Mohamadbeigi, Nima","2024-01-18","Self-powered triboelectric nanogenerator sensor for detecting humidity level and monitoring ethanol variation in a simulated exhalation environment","https://www.nature.com/articles/s41598-024-51862-6","10.1038/s41598-024-51862-6","sensor","","freestanding","aluminum","Kapton","","592.85 V","0.07 µA","","","","","","2 Hz"
"Thirumalasetty, Avanish Babu","2024-02-01","Energy storage and catalytic behaviour of cmWave assisted BZT and flexible electrospun BZT fibers for energy harvesting applications","https://www.nature.com/articles/s41598-024-52705-0","10.1038/s41598-024-52705-0","energy harvester","use of energy from water/fluid","","ceramics","PVDF","copper","","750 nA","","","","","","3 Hz"
"dos Reis, Glaydson Simoes","2024-05-21","Supercapacitors and triboelectric nanogenerators based on electrodes of greener iron nanoparticles/carbon nanotubes composites","https://www.nature.com/articles/s41598-024-61173-5","10.1038/s41598-024-61173-5","","","contact-separation","","","polypyrrole","60 V","","6 μW/cm2","","","","68 m2","7 Hz"
"Salama, Mahmoud","2024-07-17","Boosting piezoelectric properties of PVDF nanofibers via embedded graphene oxide nanosheets","https://www.nature.com/articles/s41598-024-66258-9","10.1038/s41598-024-66258-9","energy harvester","","","ceramics","PVDF","","2.773 V","","","","","","","5 Hz"
"Xiong, Jia-Bin","2024-10-26","Bidirectional enhancement of output performance of nanogenerators by M-COFs materials","https://www.nature.com/articles/s41598-024-77287-9","10.1038/s41598-024-77287-9","","","contact-separation","","","carbon","1600 V","165.6 µA","","","","","74.86 m2","8 Hz"
"Dong, Wentao","2025-05-08","Flexible hybrid self-powered piezo-triboelectric nanogenerator based on BTO-PVDF/PDMS nanocomposites for human machine interaction","https://www.nature.com/articles/s41598-025-00686-z","10.1038/s41598-025-00686-z","sensor","tactile/motion sensor","","nylon","PDMS","copper","20.51 V","","130.12 mW/m2","","","","",""
"Sasmal, Abhishek","2025-08-17","Simultaneously improved dipolar interaction at inorganic-inorganic and organic-inorganic interfaces for multimode energy harvesting from heterostructured CoFe2O4@BCZT loaded P(VDF-TrFE)","https://www.nature.com/articles/s41598-025-13253-3","10.1038/s41598-025-13253-3","energy harvester","use of energy from water/fluid","","","PVDF","aluminium","255 V","","255 µW/cm2","","","","","5 Hz"
"Venkatesan, Hema Malini","2025-01-27","High-performance triboelectric nanogenerators based on Ag-doped ZnO loaded electrospun PVDF nanofiber mats for energy harvesting and healthcare monitoring","https://www.nature.com/articles/s41598-025-87148-8","10.1038/s41598-025-87148-8","energy harvester","use of energy from motion","contact-separation","","PVDF","","51 V","1.2 µA","","","18.8 µC/cm2","","0.0004 m2",""
"Sharma, Charu","2023-07-18","Blue light emitting piezoelectric few-layered borophene nanosheets for flexible nanogenerators","https://www.nature.com/articles/s43246-023-00375-2","10.1038/s43246-023-00375-2","energy harvester","use of energy from water/fluid","","","polydimethylsiloxane","copper","96.74 mV","","","","","","","20 Hz"
"Kaswan, Kuldeep","2024-10-04","Recent advances in solid-liquid triboelectric nanogenerators for self-powered chemical and biological sensing","https://www.nature.com/articles/s44328-024-00011-0","10.1038/s44328-024-00011-0","sensor","tactile/motion sensor","contact-separation","","FEP","copper","10 mV","","","","","","",""
"Han, Mengdi","2014-04-28","Magnetic-assisted triboelectric nanogenerators as self-powered visualized omnidirectional tilt sensing system","https://www.nature.com/articles/srep04811","10.1038/srep04811","sensor","tactile/motion sensor","contact-separation","","","copper","400 mV","6 μA","649.4 mW/m2","","5 μC/m2","electrode 18 μm ","",""
"Liang, Qijie","2015-03-13","Highly transparent triboelectric nanogenerator for harvesting water-related energy reinforced by antireflection coating","https://www.nature.com/articles/srep09080","10.1038/srep09080","energy harvester","use of energy from water/fluid","","","","tin oxide","10 V","10 μA","11.56 mW/m2","2 μA/cm2","","electrode 2.2 mm ","",""
"Park, Sang-Jae","2015-09-14","Surface Engineering of Triboelectric Nanogenerator with an Electrodeposited Gold Nanoflower Structure","https://www.nature.com/articles/srep13866","10.1038/srep13866","energy harvester","use of energy from water/fluid","","","PDMS","copper","110 V","5.5 μA","150 μW/cm2","","","","4.5 cm × 4.5 cm",""
"Huang, Tao","2015-09-21","Enhanced Power Output of a Triboelectric Nanogenerator Composed of Electrospun Nanofiber Mats Doped with Graphene Oxide","https://www.nature.com/articles/srep13942","10.1038/srep13942","sensor","tactile/motion sensor","contact-separation","","PVDF","aluminum","200 V","","2.3 W/m2","","","","","1.8 Hz"
"Zhu, Yanbo","2016-02-26","A flexible and biocompatible triboelectric nanogenerator with tunable internal resistance for powering wearable devices","https://www.nature.com/articles/srep22233","10.1038/srep22233","sensor","tactile/motion sensor","contact-separation","","PDMS","","30 V","","0.1 W/m2","0.3 μA/cm2","","","",""
"Dhakar, Lokesh","2016-02-24","Large Scale Triboelectric Nanogenerator and Self-Powered Pressure Sensor Array Using Low Cost Roll-to-Roll UV Embossing","https://www.nature.com/articles/srep22253","10.1038/srep22253","sensor","tactile/motion sensor","lateral sliding","","","aluminum","16.69 V","0.13 μA","62.5 mW m−2","","","","",""
"Yong, Hyungseok","2016-09-22","Highly reliable wind-rolling triboelectric nanogenerator operating in a wide wind speed range","https://www.nature.com/articles/srep33977","10.1038/srep33977","sensor","tactile/motion sensor","contact-separation","polystyrene","polyvinyl chloride","silver","8.05 V","","","","","tribonegative layer 300 μm ","",""
"Sim, Hyeon Jun","2016-10-11","Stretchable Triboelectric Fiber for Self-powered Kinematic Sensing Textile","https://www.nature.com/articles/srep35153","10.1038/srep35153","sensor","tactile/motion sensor","","nylon","polyvinylidene fluoride","silver","","","","","","","","10 Hz"
"Wang, Xingzhao","2016-11-02","A flexible triboelectric-piezoelectric hybrid nanogenerator based on P(VDF-TrFE) nanofibers and PDMS/MWCNT for wearable devices","https://www.nature.com/articles/srep36409","10.1038/srep36409","sensor","tactile/motion sensor","","","PDMS","silver","25.0 V","","1.98 mW/cm3","","","","0.64 cm2","5 Hz"
"Kaur, Navjot","2016-12-13","Effective energy harvesting from a single electrode based triboelectric nanogenerator","https://www.nature.com/articles/srep38835","10.1038/srep38835","energy harvester","use of energy from water/fluid","single-electrode","","PVDF","aluminum","0.35 V.","","","","","","",""
"Gupta, Rahul Kumar","2017-01-25","Broadband Energy Harvester Using Non-linear Polymer Spring and Electromagnetic/Triboelectric Hybrid Mechanism","https://www.nature.com/articles/srep41396","10.1038/srep41396","energy harvester","","freestanding","","PDMS","indium tin oxide","200 V","70 nA","6 μW/cm3","","","electrode 2 mm tribonegative layer 5 mm ","15 mm × 15 mm","68 Hz"
"Balasubramaniam Saravanakumar","2013/06/25","Fabrication of a ZnO nanogenerator for eco-friendly biomechanical energy harvesting  ","https://pubs.rsc.org/en/content/articlehtml/2013/ra/c3ra40447a","10.1039/C3RA40447A","energy harvester","use of energy from motion","","","PDMS","gold","24 V","","9.492 nW cm−2","48.70 nA cm−2","","","1.4×4.4 cm2",""
"Hengyu Guo","2013/11/19","A nanogenerator for harvesting airflow energy and light energy  ","https://pubs.rsc.org/en/content/articlehtml/2014/ta/c3ta14421f","10.1039/C3TA14421F","energy harvester","use of energy from wind","","","","FTO","221 V","43 μA","200 μW cm−2","","","electrode 50 μm ","","1220.9 Hz"
"Youbin Zheng","2014/05/13","An electrospun nanowire-based triboelectric nanogenerator and its application in a fully self-powered UV detector  ","https://pubs.rsc.org/en/content/articlehtml/2014/nr/c4nr01934b","10.1039/C4NR01934B","sensor","tactile/motion sensor","","nylon","PVDF","carbon","1163 V","211 μA","26.6 W m−2","209 μA cm−2","179.6 μC m−2","","","5 Hz"
"Xianming He","2014/12/03","Improving energy conversion efficiency for triboelectric nanogenerator with capacitor structure by maximizing surface charge density  ","https://pubs.rsc.org/en/content/articlehtml/2015/nr/c4nr05512h","10.1039/C4NR05512H","","","","","PDMS","aluminum","286 V","16.5 μA","3.7 W m−2","4.4 μA cm−2","181.23 μC m−2","electrode 0.1 mm tribonegative layer 0.45 mm ","","2 Hz"
"Qiang Leng","2014/06/03","Harvesting heat energy from hot/cold water with a pyroelectric generator  ","https://pubs.rsc.org/en/content/articlehtml/2014/ta/c4ta01782j","10.1039/C4TA01782J","energy harvester","use of energy from water/fluid","","","polyvinylidene fluoride","Cu","192.6 V","14.58 μA","14 μW cm−2","12 μA cm−2","2.7 nC cm−2","tribonegative layer 110 μm ","","5 Hz"
"Qiang Leng","2014/10/17","Flexible interdigital-electrodes-based triboelectric generators for harvesting sliding and rotating mechanical energy  ","https://pubs.rsc.org/en/content/articlehtml/2014/ta/c4ta04137b","10.1039/C4TA04137B","energy harvester","use of energy from motion","contact-separation","","PVC","","1020 V","120 μA","13 W m−2","10 mA m−2","","","",""
"Jie Ding","2016/03/29","A self-powered photodetector based on a CH 3 NH 3 PbI 3 single crystal with asymmetric electrodes ","https://pubs.rsc.org/en/content/articlehtml/2016/ce/c5ce02531a","10.1039/C5CE02531A","sensor","","","","","Au","0.72 V","","8 W cm−2","6.86 mA cm−2","","","",""
"Jinsung Chun","2015/08/11","Mesoporous pores impregnated with Au nanoparticles as effective dielectrics for enhancing triboelectric nanogenerator performance in harsh environments  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c5ee01705j","10.1039/C5EE01705J","","","contact-separation","","PDMS","Al","220 V","","160 μW cm−2","2 μA cm−2","225 μC m−2","","30 cm × 30 cm","5 Hz"
"Jeong Hwan Lee","2015/09/16","Shape memory polymer-based self-healing triboelectric nanogenerator  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c5ee02711j","10.1039/C5EE02711J","energy harvester","use of energy from water/fluid","contact-separation","","PDMS","Al","100 V","15 μA","","","","","",""
"Sumanta Kumar Karan","2015/05/05","Self-powered flexible Fe-doped RGO/PVDF nanocomposite: an excellent material for a piezoelectric energy harvester  ","https://pubs.rsc.org/en/content/articlehtml/2015/nr/c5nr02067k","10.1039/C5NR02067K","energy harvester","use of energy from motion","","","PVDF","carbon","5.1 V","0.254 μA","","0.0422 μA cm−2","0.97 μC cm−2","","2.0 cm × 3.0 cm",""
"Huajing Fang","2015/08/27","A high performance triboelectric nanogenerator for self-powered non-volatile ferroelectric transistor memory  ","https://pubs.rsc.org/en/content/articlehtml/2015/nr/c5nr05098g","10.1039/C5NR05098G","sensor","","","polystyrene","polystyrene","","220 V","","","","29 μC cm−2","","","3 Hz"
"Huynh Van Ngoc","2016/02/02","Flexible, transparent and exceptionally high power output nanogenerators based on ultrathin ZnO nanoflakes  ","https://pubs.rsc.org/en/content/articlehtml/2016/nr/c5nr08324a","10.1039/C5NR08324A","","","","","PDMS","gold","258 V","285 μA","1.6 mW cm−2","80 μA cm−2","","electrode 500 nm ","25 m2","4 Hz"
